"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12408","get started link","chromium","2026-09-25","passed","2026-09-25","","example.spec.js","",""
"","7096","Yahoo Trending Now","chromium","2026-09-25","passed","2026-09-25","","yahootask.spec.js","",""
"","27401","Launch browser","chromium","2026-09-25","passed","2026-09-25","","browser.spec.js","",""
"","35034","Launch browser","chromium","2026-09-25","broken","2026-09-25","","threepage.spec.js","",""
"","12693","Google Instagram Suggestion","chromium","2026-09-25","passed","2026-09-25","","googlesb.spec.js","",""
"","8187","Alerts test","chromium","2026-09-25","passed","2026-09-25","","alertstask.spec.js","",""
"","1","WebTable in Demoqa","chromium","2026-09-25","skipped","2026-09-25","","webtabletaskthree.spec.js","",""
"","24851","Frames handling","chromium","2026-09-25","passed","2026-09-25","","frametask.spec.js","",""
"","7385","has title","chromium","2026-09-25","passed","2026-09-25","","example.spec.js","",""
"","18362","Amazon Test","chromium","2026-09-25","passed","2026-09-25","","amazontask.spec.js","",""
"","18820","Myntra Task","chromium","2026-09-25","passed","2026-09-25","","myntratask.spec.js","",""
"","19086","Launch Facebook","chromium","2026-09-25","passed","2026-09-25","","facebook.spec.js","",""
